STN,YYYYMMDD,;HH,;DD,;FH,;FF,;FX,;T
321,20200101,;1;120;70;70;90;37
321,20200101,;2;120;70;70;100;36
321,20200101,;3;130;80;70;100;40
321,20200101,;4;140;60;60;90;41
321,20200101,;5;140;60;60;80;45
321,20200101,;6;140;50;50;80;45
321,20200101,;7;160;50;60;80;47
321,20200101,;8;160;60;60;80;50
321,20200101,;9;160;60;60;80;49
321,20200101,;10;140;60;50;80;47
321,20200101,;11;150;50;50;80;49
321,20200101,;12;160;60;60;80;47
321,20200101,;13;170;60;60;90;45
321,20200101,;14;160;60;60;80;45
321,20200101,;15;180;60;60;80;43
321,20200101,;16;190;60;60;90;34
321,20200101,;17;180;60;60;90;35
321,20200101,;18;190;60;60;90;35
321,20200101,;19;190;70;70;90;31
321,20200101,;20;200;70;60;90;30
321,20200101,;21;190;60;60;80;32
321,20200101,;22;210;60;60;90;37
321,20200101,;23;200;60;50;90;44
321,20200101,;24;210;50;60;80;50
321,20200102,;1;170;60;60;80;50
321,20200102,;2;200;60;50;80;49
321,20200102,;3;200;50;60;80;50
321,20200102,;4;190;50;50;70;53
321,20200102,;5;170;70;70;80;51
321,20200102,;6;180;80;80;100;50
321,20200102,;7;180;80;80;100;53
321,20200102,;8;180;90;90;100;53
321,20200102,;9;180;90;80;110;57
321,20200102,;10;180;90;90;100;59
321,20200102,;11;180;90;80;110;60
321,20200102,;12;170;90;100;110;61
321,20200102,;13;180;100;100;120;66
321,20200102,;14;180;100;110;130;66
321,20200102,;15;180;110;110;130;67
321,20200102,;16;180;110;110;130;70
321,20200102,;17;180;120;120;140;73
321,20200102,;18;180;120;130;150;76
321,20200102,;19;180;130;130;160;79
321,20200102,;20;180;130;130;160;81
321,20200102,;21;190;130;120;160;87
321,20200102,;22;190;120;120;150;91
321,20200102,;23;190;120;130;160;94
321,20200102,;24;190;120;110;150;93
321,20200103,;1;190;120;120;150;93
321,20200103,;2;190;120;120;160;96
321,20200103,;3;190;110;110;140;95
321,20200103,;4;190;120;110;150;97
321,20200103,;5;190;110;110;140;96
321,20200103,;6;190;120;130;150;93
321,20200103,;7;200;130;140;170;96
321,20200103,;8;210;140;130;170;103
321,20200103,;9;230;140;120;180;103
321,20200103,;10;230;130;110;160;101
321,20200103,;11;240;130;110;140;100
321,20200103,;12;260;120;110;150;99
321,20200103,;13;330;120;130;160;85
321,20200103,;14;330;140;120;180;83
321,20200103,;15;330;120;110;160;90
321,20200103,;16;320;120;120;150;87
321,20200103,;17;310;110;110;140;85
321,20200103,;18;300;100;100;130;83
321,20200103,;19;290;100;100;130;79
321,20200103,;20;280;100;100;120;78
321,20200103,;21;290;100;100;120;80
321,20200103,;22;280;110;100;130;80
321,20200103,;23;280;100;90;130;80
321,20200103,;24;280;100;120;140;78
321,20200104,;1;280;120;110;140;79
321,20200104,;2;280;110;110;130;78
321,20200104,;3;280;110;110;140;79
321,20200104,;4;280;110;120;140;81
321,20200104,;5;270;110;120;140;80
321,20200104,;6;270;120;120;150;84
321,20200104,;7;260;120;130;150;85
321,20200104,;8;260;120;130;160;83
321,20200104,;9;260;120;120;160;82
321,20200104,;10;260;120;130;150;81
321,20200104,;11;260;120;130;160;84
321,20200104,;12;270;120;120;150;85
321,20200104,;13;270;120;110;150;83
321,20200104,;14;270;110;110;130;84
321,20200104,;15;280;100;90;130;85
321,20200104,;16;280;90;90;110;88
321,20200104,;17;280;90;90;110;88
321,20200104,;18;290;90;90;110;88
321,20200104,;19;280;80;80;100;88
321,20200104,;20;280;80;80;100;87
321,20200104,;21;280;70;70;90;86
321,20200104,;22;280;70;60;80;87
321,20200104,;23;270;60;50;70;87
321,20200104,;24;270;50;50;60;88
321,20200105,;1;260;50;60;60;87
321,20200105,;2;250;60;60;70;88
321,20200105,;3;250;60;60;70;87
321,20200105,;4;240;60;50;70;88
321,20200105,;5;240;60;50;60;88
321,20200105,;6;230;60;60;80;89
321,20200105,;7;240;70;60;100;89
321,20200105,;8;240;70;60;80;87
321,20200105,;9;250;70;70;90;87
321,20200105,;10;230;70;60;90;88
321,20200105,;11;240;80;70;110;88
321,20200105,;12;230;90;80;110;82
321,20200105,;13;230;90;80;110;81
321,20200105,;14;240;90;90;110;85
321,20200105,;15;230;80;70;110;82
321,20200105,;16;240;80;70;100;85
321,20200105,;17;240;80;80;110;86
321,20200105,;18;240;80;70;100;87
321,20200105,;19;240;90;80;100;87
321,20200105,;20;220;80;90;110;89
321,20200105,;21;220;90;90;110;89
321,20200105,;22;230;80;70;100;89
321,20200105,;23;230;80;90;120;88
321,20200105,;24;230;90;80;110;89
321,20200106,;1;220;80;90;110;89
321,20200106,;2;230;100;70;120;89
321,20200106,;3;200;80;80;100;85
321,20200106,;4;190;80;90;110;76
321,20200106,;5;200;100;100;130;79
321,20200106,;6;200;110;110;130;79
321,20200106,;7;190;100;100;130;73
321,20200106,;8;190;100;100;120;71
321,20200106,;9;190;110;110;130;69
321,20200106,;10;190;110;100;130;68
321,20200106,;11;180;110;110;140;67
321,20200106,;12;180;110;110;130;66
321,20200106,;13;170;110;110;130;67
321,20200106,;14;170;110;100;130;68
321,20200106,;15;180;100;100;120;73
321,20200106,;16;200;110;110;130;76
321,20200106,;17;210;110;120;140;82
321,20200106,;18;210;120;100;160;84
321,20200106,;19;210;110;110;140;87
321,20200106,;20;210;120;120;150;84
321,20200106,;21;210;120;120;160;86
321,20200106,;22;230;120;100;150;93
321,20200106,;23;240;110;90;120;95
321,20200106,;24;260;90;90;110;95
321,20200107,;1;270;100;90;120;94
321,20200107,;2;270;80;80;110;93
321,20200107,;3;260;80;80;100;91
321,20200107,;4;250;70;60;100;90
321,20200107,;5;250;70;70;90;91
321,20200107,;6;230;70;50;90;89
321,20200107,;7;230;60;50;70;90
321,20200107,;8;210;60;60;80;92
321,20200107,;9;190;60;70;80;90
321,20200107,;10;200;90;80;110;91
321,20200107,;11;200;80;80;110;94
321,20200107,;12;190;90;90;110;89
321,20200107,;13;190;100;100;130;91
321,20200107,;14;190;110;110;160;93
321,20200107,;15;180;110;120;140;91
321,20200107,;16;180;120;110;140;90
321,20200107,;17;170;130;130;160;86
321,20200107,;18;170;130;130;160;88
321,20200107,;19;180;130;130;160;87
321,20200107,;20;190;130;130;160;87
321,20200107,;21;190;130;130;170;89
321,20200107,;22;180;140;140;160;92
321,20200107,;23;190;140;140;170;95
321,20200107,;24;190;140;140;170;99
321,20200108,;1;200;140;150;170;105,  1
321,20200108,;2;210;150;150;180;110,  1
321,20200108,;3;220;150;140;190;110,  1
321,20200108,;4;210;130;120;180;108,  1
321,20200108,;5;210;120;120;140;107,  1
321,20200108,;6;220;110;110;140;106,  1
321,20200108,;7;210;110;110;130;105,  1
321,20200108,;8;210;100;90;120;105,  1
321,20200108,;9;220;90;90;110;105,  1
321,20200108,;10;220;100;100;110;104,  1
321,20200108,;11;220;90;80;110;104
321,20200108,;12;230;80;70;90;104
321,20200108,;13;230;80;60;90;103
321,20200108,;14;230;70;60;70;101
321,20200108,;15;240;60;40;70;102
321,20200108,;16;220;50;50;60;101
321,20200108,;17;230;50;40;60;99
321,20200108,;18;210;40;50;60;97
321,20200108,;19;240;40;30;60;97
321,20200108,;20;200;30;30;40;96
321,20200108,;21;190;30;20;40;93
321,20200108,;22;180;30;30;40;92
321,20200108,;23;150;40;40;50;89
321,20200108,;24;150;50;60;70;89
321,20200109,;1;160;70;90;100;94
321,20200109,;2;150;80;90;110;96
321,20200109,;3;170;100;110;120;99
321,20200109,;4;170;110;110;140;102
321,20200109,;5;180;120;120;140;103,  1
321,20200109,;6;180;120;120;150;104,  1
321,20200109,;7;180;120;120;150;105,  1
321,20200109,;8;180;120;130;160;107,  1
321,20200109,;9;190;120;120;150;105
321,20200109,;10;190;130;130;150;104,  1
321,20200109,;11;190;130;140;160;106,  1
321,20200109,;12;200;140;130;160;109,  1
321,20200109,;13;210;130;130;170;113,  1
321,20200109,;14;210;120;120;150;112,  1
321,20200109,;15;200;110;100;140;106,  1
321,20200109,;16;190;90;80;120;105,  1
321,20200109,;17;180;70;70;90;104,  1
321,20200109,;18;170;100;100;130;105,  1
321,20200109,;19;180;100;90;120;105
321,20200109,;20;180;110;100;140;106
321,20200109,;21;200;100;100;130;112
321,20200109,;22;200;100;100;140;104
321,20200109,;23;220;100;100;130;104
321,20200109,;24;230;100;90;120;101
321,20200110,;1;230;90;80;100;99
321,20200110,;2;230;90;70;110;99
321,20200110,;3;240;80;60;90;99
321,20200110,;4;300;70;100;120;85
321,20200110,;5;300;100;90;120;80
321,20200110,;6;320;90;100;120;84
321,20200110,;7;320;110;120;140;81
321,20200110,;8;330;110;110;150;76
321,20200110,;9;320;100;110;140;78
321,20200110,;10;330;100;110;130;80
321,20200110,;11;320;100;90;130;78
321,20200110,;12;320;100;90;130;83
321,20200110,;13;320;90;80;110;86
321,20200110,;14;300;90;90;110;85
321,20200110,;15;300;80;80;100;83
321,20200110,;16;300;80;80;90;78
321,20200110,;17;290;70;60;80;77
321,20200110,;18;270;60;60;80;78
321,20200110,;19;230;50;30;70;77
321,20200110,;20;230;40;40;50;80
321,20200110,;21;240;60;60;80;81
321,20200110,;22;220;70;80;100;81
321,20200110,;23;230;80;90;120;80
321,20200110,;24;220;90;100;120;79
321,20200111,;1;220;110;110;130;79
321,20200111,;2;210;110;110;150;83
321,20200111,;3;200;110;110;130;82
321,20200111,;4;200;110;110;130;80
321,20200111,;5;200;110;110;140;80
321,20200111,;6;200;110;120;140;82
321,20200111,;7;200;120;120;140;80
321,20200111,;8;190;120;130;150;79
321,20200111,;9;190;130;130;160;80
321,20200111,;10;190;140;140;170;79
321,20200111,;11;190;130;130;170;81
321,20200111,;12;190;140;140;170;79
321,20200111,;13;190;140;140;180;81
321,20200111,;14;190;140;140;170;85
321,20200111,;15;190;130;130;160;88
321,20200111,;16;200;150;160;190;93
321,20200111,;17;200;150;150;190;93
321,20200111,;18;200;160;150;200;93
321,20200111,;19;200;150;140;190;93
321,20200111,;20;190;140;150;180;88
321,20200111,;21;200;140;150;180;89
321,20200111,;22;200;140;140;170;89
321,20200111,;23;190;120;120;160;88
321,20200111,;24;200;130;130;160;90
321,20200112,;1;200;140;150;180;91
321,20200112,;2;200;150;150;190;88
321,20200112,;3;200;150;140;190;88
321,20200112,;4;200;150;160;190;85
321,20200112,;5;190;150;150;180;83
321,20200112,;6;200;140;140;180;84
321,20200112,;7;190;140;140;180;77
321,20200112,;8;200;140;150;180;77
321,20200112,;9;200;150;160;190;90
321,20200112,;10;200;160;150;200;84
321,20200112,;11;190;140;130;180;86
321,20200112,;12;210;130;140;170;103
321,20200112,;13;220;140;140;170;106
321,20200112,;14;230;130;120;180;106
321,20200112,;15;230;130;100;160;106
321,20200112,;16;240;120;80;140;105
321,20200112,;17;250;100;90;120;103
321,20200112,;18;250;90;90;120;101
321,20200112,;19;240;70;60;100;100
321,20200112,;20;270;60;50;70;96
321,20200112,;21;260;50;40;70;94
321,20200112,;22;230;30;30;50;94
321,20200112,;23;230;70;60;80;94
321,20200112,;24;230;70;60;90;92
321,20200113,;1;220;80;90;110;92
321,20200113,;2;220;90;80;110;92
321,20200113,;3;220;90;90;120;92
321,20200113,;4;200;90;80;110;88
321,20200113,;5;200;90;100;120;87
321,20200113,;6;200;100;110;120;86
321,20200113,;7;200;100;100;120;87
321,20200113,;8;180;100;100;120;79
321,20200113,;9;170;100;100;130;72
321,20200113,;10;180;110;110;130;70
321,20200113,;11;170;110;120;140;62
321,20200113,;12;170;120;110;140;64
321,20200113,;13;170;120;120;140;73
321,20200113,;14;170;120;120;140;79
321,20200113,;15;160;120;120;150;80
321,20200113,;16;160;130;120;160;79
321,20200113,;17;160;140;140;180;85
321,20200113,;18;160;140;140;180;87
321,20200113,;19;170;160;160;190;95
321,20200113,;20;170;160;160;210;98
321,20200113,;21;170;160;160;200;98
321,20200113,;22;170;170;170;210;100
321,20200113,;23;170;170;160;220;101
321,20200113,;24;180;160;160;220;100
321,20200114,;1;180;160;160;200;101
321,20200114,;2;180;160;160;190;94
321,20200114,;3;190;160;160;200;92
321,20200114,;4;220;140;110;200;86
321,20200114,;5;210;120;120;150;91
321,20200114,;6;210;120;110;140;93
321,20200114,;7;200;110;110;140;94
321,20200114,;8;190;120;110;140;92
321,20200114,;9;180;120;120;140;89
321,20200114,;10;180;120;120;140;88
321,20200114,;11;180;120;110;150;89
321,20200114,;12;180;120;110;150;90
321,20200114,;13;170;120;120;140;92
321,20200114,;14;170;120;130;160;95
321,20200114,;15;170;150;170;210;101
321,20200114,;16;180;170;180;220;105
321,20200114,;17;180;180;180;220;112
321,20200114,;18;180;180;170;210;111
321,20200114,;19;180;180;180;220;116
321,20200114,;20;190;180;180;230;118
321,20200114,;21;180;170;160;210;113
321,20200114,;22;190;170;170;210;115
321,20200114,;23;190;170;170;220;113
321,20200114,;24;190;170;160;200;114
321,20200115,;1;180;160;150;200;113
321,20200115,;2;180;160;150;190;111
321,20200115,;3;180;170;170;210;112
321,20200115,;4;180;170;170;210;111
321,20200115,;5;180;170;160;210;109
321,20200115,;6;180;150;150;190;104
321,20200115,;7;180;150;150;190;104
321,20200115,;8;180;150;150;190;102
321,20200115,;9;180;150;150;190;103
321,20200115,;10;180;150;140;180;102
321,20200115,;11;190;140;140;190;98
321,20200115,;12;240;130;80;190;86
321,20200115,;13;260;90;80;120;77
321,20200115,;14;260;90;90;120;78
321,20200115,;15;200;70;60;100;80
321,20200115,;16;210;80;100;110;85
321,20200115,;17;210;110;110;140;89
321,20200115,;18;210;120;110;150;92
321,20200115,;19;210;120;120;150;95
321,20200115,;20;220;130;120;160;97
321,20200115,;21;220;120;120;150;97
321,20200115,;22;230;110;110;140;97
321,20200115,;23;220;110;110;140;99
321,20200115,;24;220;100;80;130;98
321,20200116,;1;200;80;70;100;93
321,20200116,;2;200;80;90;100;91
321,20200116,;3;200;90;80;110;92
321,20200116,;4;200;80;90;110;90
321,20200116,;5;180;80;90;100;83
321,20200116,;6;170;90;80;100;80
321,20200116,;7;160;80;90;100;77
321,20200116,;8;160;100;100;120;74
321,20200116,;9;160;100;100;120;75
321,20200116,;10;160;110;110;130;77
321,20200116,;11;160;120;120;150;79
321,20200116,;12;160;110;110;140;79
321,20200116,;13;160;120;120;150;70
321,20200116,;14;150;110;100;140;78
321,20200116,;15;150;110;110;140;90
321,20200116,;16;140;110;110;140;98
321,20200116,;17;140;120;120;150;101
321,20200116,;18;140;120;120;160;101
321,20200116,;19;150;130;130;160;104
321,20200116,;20;150;130;130;160;105
321,20200116,;21;160;130;120;170;104
321,20200116,;22;160;120;120;140;103
321,20200116,;23;160;110;110;140;102
321,20200116,;24;170;110;100;130;101
321,20200117,;1;170;100;100;140;100
321,20200117,;2;160;100;100;140;95
321,20200117,;3;160;90;100;120;95
321,20200117,;4;170;90;100;120;95
321,20200117,;5;180;90;100;120;91
321,20200117,;6;190;90;80;110;90
321,20200117,;7;170;80;80;100;90
321,20200117,;8;170;90;100;110;90
321,20200117,;9;170;100;100;120;91
321,20200117,;10;180;90;90;110;94
321,20200117,;11;190;90;90;120;96
321,20200117,;12;200;100;110;130;98
321,20200117,;13;200;100;100;120;99
321,20200117,;14;210;110;120;150;100
321,20200117,;15;210;120;130;180;97
321,20200117,;16;240;150;130;170;88
321,20200117,;17;260;170;160;210;74
321,20200117,;18;260;150;150;190;73
321,20200117,;19;250;140;130;180;74
321,20200117,;20;240;130;120;160;81
321,20200117,;21;240;120;100;140;83
321,20200117,;22;230;110;100;130;80
321,20200117,;23;240;110;90;120;79
321,20200117,;24;250;100;90;110;78
321,20200118,;1;240;90;80;120;79
321,20200118,;2;250;90;90;110;76
321,20200118,;3;260;100;90;120;70
321,20200118,;4;260;90;100;120;65
321,20200118,;5;270;100;100;130;67
321,20200118,;6;280;100;100;130;68
321,20200118,;7;270;100;100;130;67
321,20200118,;8;280;100;100;130;66
321,20200118,;9;280;100;100;120;66
321,20200118,;10;280;100;100;120;69
321,20200118,;11;290;100;100;120;66
321,20200118,;12;290;90;90;120;64
321,20200118,;13;300;90;80;110;65
321,20200118,;14;300;90;90;110;64
321,20200118,;15;290;80;80;100;68
321,20200118,;16;300;80;80;100;68
321,20200118,;17;300;80;80;100;69
321,20200118,;18;290;80;80;100;70
321,20200118,;19;300;80;90;110;73
321,20200118,;20;310;90;90;120;74
321,20200118,;21;320;90;90;120;76
321,20200118,;22;300;90;90;110;75
321,20200118,;23;330;100;90;150;78
321,20200118,;24;350;90;80;120;73
321,20200119,;1;330;100;100;140;77
321,20200119,;2;330;110;100;180;76
321,20200119,;3;330;120;130;150;75
321,20200119,;4;350;130;130;180;59
321,20200119,;5;350;100;100;170;68
321,20200119,;6;340;120;110;180;73
321,20200119,;7;350;120;120;160;78
321,20200119,;8;360;120;110;150;82
321,20200119,;9;360;110;110;180;81
321,20200119,;10;350;100;100;130;83
321,20200119,;11;360;110;110;130;83
321,20200119,;12;360;100;90;130;84
321,20200119,;13;360;90;100;130;85
321,20200119,;14;360;100;90;120;84
321,20200119,;15;360;100;100;120;83
321,20200119,;16;350;90;90;110;82
321,20200119,;17;350;80;80;100;81
321,20200119,;18;350;70;70;90;80
321,20200119,;19;350;70;70;80;80
321,20200119,;20;340;60;60;90;79
321,20200119,;21;340;60;60;70;78
321,20200119,;22;340;60;50;70;77
321,20200119,;23;340;40;40;60;78
321,20200119,;24;310;30;30;50;77
321,20200120,;1;300;30;30;40;76
321,20200120,;2;300;30;40;60;77
321,20200120,;3;300;50;50;60;76
321,20200120,;4;310;40;40;50;75
321,20200120,;5;290;40;30;50;74
321,20200120,;6;280;30;30;40;77
321,20200120,;7;290;30;30;40;79
321,20200120,;8;280;30;20;40;81
321,20200120,;9;270;30;30;40;82
321,20200120,;10;220;30;30;30;81
321,20200120,;11;230;30;40;50;80
321,20200120,;12;230;40;40;50;80
321,20200120,;13;220;50;50;60;80
321,20200120,;14;240;50;40;60;81
321,20200120,;15;240;50;50;60;81
321,20200120,;16;240;60;50;60;78
321,20200120,;17;240;50;40;60;79
321,20200120,;18;240;50;40;60;78
321,20200120,;19;230;40;40;50;79
321,20200120,;20;240;40;30;50;80
321,20200120,;21;230;40;30;50;80
321,20200120,;22;230;40;40;50;79
321,20200120,;23;260;40;40;50;77
321,20200120,;24;250;30;30;50;74
321,20200121,;1;230;30;30;40;74
321,20200121,;2;210;30;40;50;76
321,20200121,;3;210;40;40;50;76
321,20200121,;4;170;50;80;90;64
321,20200121,;5;200;70;70;90;67
321,20200121,;6;210;70;60;80;65
321,20200121,;7;210;60;60;70;69
321,20200121,;8;200;60;60;70;72
321,20200121,;9;190;60;70;80;58
321,20200121,;10;200;60;60;80;63
321,20200121,;11;210;60;60;70;62
321,20200121,;12;210;60;60;70;62
321,20200121,;13;210;60;60;70;67
321,20200121,;14;250;50;40;70;77
321,20200121,;15;200;40;50;70;70
321,20200121,;16;200;50;50;80;68
321,20200121,;17;250;40;30;60;71
321,20200121,;18;220;40;40;60;72
321,20200121,;19;220;40;50;60;71
321,20200121,;20;250;40;40;60;71
321,20200121,;21;240;40;40;60;68
321,20200121,;22;260;30;30;50;67
321,20200121,;23;250;30;30;50;65
321,20200121,;24;240;30;30;50;64
321,20200122,;1;270;20;20;50;64
321,20200122,;2;290;20;10;30;65
321,20200122,;3;340;30;30;60;67
321,20200122,;4;330;30;20;50;66
321,20200122,;5;330;30;30;50;68
321,20200122,;6;330;30;30;40;68
321,20200122,;7;330;20;10;40;70
321,20200122,;8;330;10;10;20;70
321,20200122,;9;310;10;10;30;68
321,20200122,;10;250;10;10;20;69
321,20200122,;11;200;20;20;30;67
321,20200122,;12;220;30;30;40;67
321,20200122,;13;250;30;30;40;73
321,20200122,;14;270;30;30;40;78
321,20200122,;15;270;30;30;40;82
321,20200122,;16;300;30;20;40;85
321,20200122,;17;360;10;10;20;85
321,20200122,;18;30;20;20;40;87
321,20200122,;19;70;20;10;40;87
321,20200122,;20;120;20;10;20;85
321,20200122,;21;130;20;20;20;85
321,20200122,;22;120;20;20;30;85
321,20200122,;23;140;20;30;30;82
321,20200122,;24;160;30;30;30;80
321,20200123,;1;180;30;30;40;78
321,20200123,;2;210;30;30;40;77
321,20200123,;3;210;30;30;40;76
321,20200123,;4;220;30;20;40;75
321,20200123,;5;220;20;10;30;74
321,20200123,;6;250;10;10;20;76
321,20200123,;7;300;10;10;10;79
321,20200123,;8;0;10;0;10;78
321,20200123,;9;0;0;0;10;75
321,20200123,;10;110;10;10;20;75
321,20200123,;11;140;10;10;30;76
321,20200123,;12;170;30;20;50;72
321,20200123,;13;140;20;20;30;71
321,20200123,;14;140;20;20;30;71
321,20200123,;15;130;30;20;40;69
321,20200123,;16;130;30;30;40;66
321,20200123,;17;130;30;30;40;66
321,20200123,;18;110;30;30;40;66
321,20200123,;19;110;20;20;30;66
321,20200123,;20;100;30;30;40;66
321,20200123,;21;110;30;30;40;63
321,20200123,;22;100;30;30;40;62
321,20200123,;23;130;30;30;40;61
321,20200123,;24;130;30;30;40;59
321,20200124,;1;140;40;40;60;54
321,20200124,;2;140;40;30;50;55
321,20200124,;3;140;40;40;50;56
321,20200124,;4;140;20;20;40;57
321,20200124,;5;160;30;30;40;55
321,20200124,;6;170;30;40;40;54
321,20200124,;7;160;50;50;60;50
321,20200124,;8;170;50;50;60;52
321,20200124,;9;180;50;50;60;52
321,20200124,;10;180;50;50;70;52
321,20200124,;11;180;50;50;60;53
321,20200124,;12;180;50;50;70;55
321,20200124,;13;180;60;70;90;52
321,20200124,;14;190;70;80;90;51
321,20200124,;15;190;70;70;90;46
321,20200124,;16;190;70;70;90;49
321,20200124,;17;190;70;70;80;50
321,20200124,;18;190;70;60;80;54
321,20200124,;19;190;70;70;80;57
321,20200124,;20;170;70;60;80;56
321,20200124,;21;180;60;60;80;57
321,20200124,;22;180;70;70;90;55
321,20200124,;23;180;80;80;90;51
321,20200124,;24;180;70;80;90;51
321,20200125,;1;180;80;70;90;50
321,20200125,;2;180;80;70;100;50
321,20200125,;3;180;70;70;90;49
321,20200125,;4;170;70;70;90;45
321,20200125,;5;180;80;80;100;44
321,20200125,;6;180;80;80;100;43
321,20200125,;7;170;80;80;100;41
321,20200125,;8;180;80;80;100;43
321,20200125,;9;180;80;80;100;44
321,20200125,;10;180;80;80;100;44
321,20200125,;11;180;70;70;90;46
321,20200125,;12;170;70;70;90;47
321,20200125,;13;160;70;70;90;47
321,20200125,;14;170;70;60;90;47
321,20200125,;15;150;60;70;80;49
321,20200125,;16;160;60;60;80;50
321,20200125,;17;150;60;60;80;50
321,20200125,;18;150;60;70;80;43
321,20200125,;19;130;60;70;80;32
321,20200125,;20;130;60;60;80;31
321,20200125,;21;140;70;70;90;36
321,20200125,;22;140;70;70;90;42
321,20200125,;23;140;70;70;90;41
321,20200125,;24;150;80;80;100;43
321,20200126,;1;160;80;70;100;45
321,20200126,;2;150;70;80;90;49
321,20200126,;3;160;80;80;100;54
321,20200126,;4;160;80;80;100;57
321,20200126,;5;170;80;90;100;59
321,20200126,;6;180;80;80;100;63
321,20200126,;7;210;70;60;90;67
321,20200126,;8;190;70;70;90;67
321,20200126,;9;190;70;80;90;66
321,20200126,;10;160;70;70;90;67
321,20200126,;11;160;80;80;100;67
321,20200126,;12;170;80;90;100;70
321,20200126,;13;170;90;90;110;71
321,20200126,;14;190;90;90;110;77
321,20200126,;15;180;100;100;120;79
321,20200126,;16;180;100;110;130;79
321,20200126,;17;180;110;110;140;78
321,20200126,;18;170;120;120;150;77
321,20200126,;19;170;130;130;160;78
321,20200126,;20;180;130;130;150;78
321,20200126,;21;170;130;130;160;78
321,20200126,;22;170;130;130;170;80
321,20200126,;23;180;140;130;190;84
321,20200126,;24;190;130;130;160;83
321,20200127,;1;190;120;130;160;87
321,20200127,;2;190;120;110;140;89
321,20200127,;3;200;110;110;140;91
321,20200127,;4;200;110;100;130;90
321,20200127,;5;200;100;90;120;90
321,20200127,;6;220;100;100;150;94
321,20200127,;7;210;90;100;120;93
321,20200127,;8;200;90;90;120;90
321,20200127,;9;190;100;100;120;89
321,20200127,;10;190;100;100;130;88
321,20200127,;11;190;110;110;150;86
321,20200127,;12;190;100;90;140;85
321,20200127,;13;200;110;120;140;87
321,20200127,;14;190;110;100;140;85
321,20200127,;15;190;100;100;130;81
321,20200127,;16;160;80;70;120;83
321,20200127,;17;160;90;90;110;85
321,20200127,;18;150;100;100;120;84
321,20200127,;19;150;110;110;140;82
321,20200127,;20;170;110;130;160;81
321,20200127,;21;210;120;100;160;72
321,20200127,;22;240;90;90;110;77
321,20200127,;23;230;110;100;130;79
321,20200127,;24;230;110;90;150;84
321,20200128,;1;220;110;100;130;85
321,20200128,;2;220;110;110;170;68
321,20200128,;3;220;90;110;140;80
321,20200128,;4;180;110;120;150;72
321,20200128,;5;200;110;120;170;52
321,20200128,;6;260;130;160;200;40
321,20200128,;7;260;140;150;180;62
321,20200128,;8;260;160;160;190;58
321,20200128,;9;260;160;150;190;59
321,20200128,;10;260;160;160;190;57
321,20200128,;11;260;160;150;200;55
321,20200128,;12;260;150;150;190;60
321,20200128,;13;250;150;140;180;61
321,20200128,;14;240;140;120;160;61
321,20200128,;15;250;150;130;170;67
321,20200128,;16;240;140;110;160;73
321,20200128,;17;230;140;110;150;77
321,20200128,;18;240;140;110;150;77
321,20200128,;19;240;130;120;140;76
321,20200128,;20;250;130;120;150;72
321,20200128,;21;260;130;130;160;68
321,20200128,;22;260;130;130;160;65
321,20200128,;23;260;130;120;150;69
321,20200128,;24;260;120;120;160;66
321,20200129,;1;260;120;120;150;64
321,20200129,;2;260;130;130;150;64
321,20200129,;3;250;130;120;150;64
321,20200129,;4;250;130;120;150;63
321,20200129,;5;260;130;130;160;66
321,20200129,;6;250;140;140;170;65
321,20200129,;7;260;140;140;170;63
321,20200129,;8;260;140;140;180;63
321,20200129,;9;260;140;140;170;64
321,20200129,;10;270;140;140;170;66
321,20200129,;11;270;130;130;170;68
321,20200129,;12;260;120;120;150;68
321,20200129,;13;260;120;120;150;70
321,20200129,;14;260;110;110;150;74
321,20200129,;15;250;110;110;130;77
321,20200129,;16;250;110;100;130;80
321,20200129,;17;250;120;110;130;81
321,20200129,;18;240;110;100;130;84
321,20200129,;19;230;110;110;130;87
321,20200129,;20;220;110;100;130;88
321,20200129,;21;220;110;110;140;89
321,20200129,;22;220;120;130;160;90
321,20200129,;23;230;130;130;170;90
321,20200129,;24;230;130;110;170;89
321,20200130,;1;230;130;130;170;89
321,20200130,;2;230;130;110;160;91
321,20200130,;3;230;120;100;150;91
321,20200130,;4;220;110;120;140;91
321,20200130,;5;220;110;110;140;92
321,20200130,;6;210;100;100;130;89
321,20200130,;7;180;100;90;120;73
321,20200130,;8;180;100;110;130;70
321,20200130,;9;180;110;110;140;71
321,20200130,;10;190;100;90;130;73
321,20200130,;11;170;100;100;120;71
321,20200130,;12;170;100;90;130;70
321,20200130,;13;180;100;100;120;75
321,20200130,;14;190;100;100;120;78
321,20200130,;15;180;100;110;130;78
321,20200130,;16;190;110;120;140;82
321,20200130,;17;180;110;100;130;86
321,20200130,;18;210;130;140;170;98
321,20200130,;19;220;130;130;160;100
321,20200130,;20;220;130;130;160;103
321,20200130,;21;220;140;150;180;104
321,20200130,;22;220;140;140;170;101
321,20200130,;23;230;130;120;170;102
321,20200130,;24;240;110;90;150;103
321,20200131,;1;230;110;110;130;100
321,20200131,;2;230;100;90;130;103
321,20200131,;3;240;100;90;110;102
321,20200131,;4;230;100;90;110;97
321,20200131,;5;230;90;90;110;97
321,20200131,;6;220;100;90;130;94
321,20200131,;7;200;100;100;110;92
321,20200131,;8;210;100;110;130;92
321,20200131,;9;210;120;130;160;90
321,20200131,;10;210;130;120;160;88
321,20200131,;11;210;140;150;180;91
